Unnamed: 0,astern Mediterranean Region,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Iran (Islamic Republicof)",38309,2901.0,2640.0,123.0,Local transmission,0.0
Pakistan,1625,99.0,18.0,5.0,Local transmission,0.0
Saudi Arabia,1299,96.0,8.0,4.0,Local transmission,0.0
Qatar,634,44.0,2.0,1.0,Local transmission,0.0
Egypt,609,33.0,40.0,4.0,Local transmission,0.0
United Arab Emirates,570,102.0,3.0,1.0,Local transmission,0.0
Iraq,547,41.0,42.0,0.0,Local transmission,0.0
Morocco,516,79.0,27.0,1.0,Local transmission,0.0
Bahrain,515,39.0,4.0,0.0,Local transmission,0.0
Lebanon,438,26.0,10.0,2.0,Local transmission,0.0
Tunisia,312,34.0,8.0,0.0,Local transmission,0.0
Jordan,259,13.0,3.0,2.0,Local transmission,0.0
Kuwait,255,20.0,0.0,0.0,Local transmission,0.0
Oman,167,0.0,0.0,0.0,Local transmission,1.0
Afghanistan,114,0.0,4.0,0.0,Local transmission,1.0
Djibouti,19,4.0,0.0,0.0,Local transmission,0.0
Syrian Arab Republic,9,4.0,1.0,1.0,Imported cases only,0.0
Libya,8,5.0,0.0,0.0,Local transmission,0.0
Sudan,6,1.0,2.0,1.0,Imported cases only,0.0
Somalia,3,0.0,0.0,0.0,Imported cases only,3.0
,erritories**,,,,,
"occupied Palestinianterritory",115,11.0,1.0,0.0,Local transmission,0.0
,egion of the Americas,,,,,
"United States ofAmerica",122653,19332.0,2112.0,444.0,Local transmission,0.0
Canada,5655,898.0,61.0,6.0,Local transmission,0.0
Brazil,3904,487.0,114.0,22.0,Local transmission,0.0
Chile,1909,0.0,6.0,0.0,Local transmission,1.0
Ecuador,1835,12.0,48.0,0.0,Local transmission,0.0
Panama,901,115.0,17.0,3.0,Local transmission,0.0
Mexico,848,131.0,16.0,4.0,Local transmission,0.0
Argentina,745,55.0,19.0,2.0,Local transmission,0.0
Peru,671,36.0,11.0,0.0,Local transmission,0.0
Colombia,608,69.0,6.0,0.0,Local transmission,0.0
Dominican Republic,581,0.0,20.0,0.0,Local transmission,2.0
Uruguay,303,29.0,0.0,0.0,Local transmission,0.0
Costa Rica,295,32.0,2.0,0.0,Local transmission,0.0
Cuba,119,0.0,3.0,0.0,Local transmission,1.0
"Venezuela (BolivarianRepublic of)",113,0.0,2.0,0.0,Local transmission,1.0
Honduras,110,43.0,2.0,1.0,Local transmission,0.0
Trinidad and Tobago,76,2.0,3.0,1.0,Local transmission,0.0
"Bolivia (PlurinationalState of)",74,0.0,0.0,0.0,Local transmission,1.0
Paraguay,59,3.0,3.0,0.0,Local transmission,0.0
Guatemala,34,2.0,1.0,0.0,Local transmission,0.0
Jamaica,32,2.0,1.0,0.0,Local transmission,0.0
Barbados,26,2.0,0.0,0.0,Local transmission,0.0
El Salvador,24,5.0,0.0,0.0,Local transmission,0.0
Haiti,15,7.0,0.0,0.0,Imported cases only,0.0
Dominica,11,0.0,0.0,0.0,Local transmission,3.0
Bahamas,10,0.0,0.0,0.0,Local transmission,1.0
Suriname,8,0.0,0.0,0.0,Imported cases only,2.0
Antigua and Barbuda,7,0.0,0.0,0.0,Imported cases only,2.0
Grenada,7,0.0,0.0,0.0,Local transmission,3.0
Guyana,5,0.0,1.0,0.0,Local transmission,11.0
Nicaragua,4,0.0,1.0,0.0,Imported cases only,1.0
Saint Kitts and Nevis,4,2.0,0.0,0.0,Imported cases only,0.0
Saint Lucia,4,1.0,0.0,0.0,Imported cases only,0.0
Belize,2,0.0,0.0,0.0,Local transmission,4.0
"Saint Vincent and theGrenadines",1,0.0,0.0,0.0,Imported cases only,17.0
,Territories**,,,,,
Martinique,105,12.0,2.0,1.0,Imported cases only,0.0
Guadeloupe,96,0.0,2.0,0.0,Imported cases only,2.0
Puerto Rico,64,0.0,2.0,0.0,Imported cases only,3.0
Aruba,46,0.0,0.0,0.0,Local transmission,1.0
French Guiana,31,0.0,0.0,0.0,Local transmission,2.0
Bermuda,22,5.0,0.0,0.0,Local transmission,0.0
"United States VirginIslands",22,5.0,0.0,0.0,Imported cases only,0.0
Cayman Islands,8,0.0,1.0,0.0,Imported cases only,4.0
Curaçao,7,0.0,1.0,0.0,Imported cases only,3.0
Saint Martin,6,0.0,0.0,0.0,Under investigation,0.0
Montserrat,5,0.0,0.0,0.0,Imported cases only,2.0
Saint Barthélemy,5,0.0,0.0,0.0,Under investigation,2.0
"Turks and CaicosIslands",4,2.0,0.0,0.0,Local transmission,0.0
Sint Maarten,3,0.0,0.0,0.0,Imported cases only,2.0
Anguilla,2,0.0,0.0,0.0,Local transmission,3.0
British Virgin Islands,2,0.0,0.0,0.0,Imported cases only,3.0
,African Region,,,,,
South Africa,1280,93.0,1.0,0.0,Local transmission,0.0
Algeria,454,45.0,29.0,3.0,Local transmission,0.0
Burkina Faso,222,76.0,3.0,0.0,Local transmission,0.0
Cote d’Ivoire,165,25.0,0.0,0.0,Local transmission,0.0
Ghana,152,15.0,5.0,1.0,Local transmission,0.0
Senegal,142,23.0,0.0,0.0,Local transmission,0.0
Cameroon,113,22.0,2.0,0.0,Local transmission,0.0
Mauritius,102,0.0,2.0,0.0,Local transmission,1.0
"Democratic Republicof the Congo",81,13.0,8.0,2.0,Local transmission,0.0
Rwanda,70,10.0,0.0,0.0,Local transmission,0.0
Nigeria,65,0.0,1.0,0.0,Local transmission,3.0
Madagascar,37,11.0,0.0,0.0,Imported cases only,0.0
Uganda,33,19.0,0.0,0.0,Local transmission,0.0
Togo,28,0.0,1.0,1.0,Local transmission,0.0
Kenya,25,0.0,1.0,0.0,Local transmission,5.0
Ethiopia,21,5.0,0.0,0.0,Local transmission,0.0
Niger,20,10.0,3.0,2.0,Local transmission,0.0
Congo,19,0.0,0.0,0.0,Imported cases only,2.0
Mali,18,0.0,0.0,0.0,Local transmission,1.0
Guinea,16,8.0,0.0,0.0,Imported cases only,0.0
Zambia,16,0.0,0.0,0.0,Local transmission,1.0
United Republic of,14,0.0,0.0,0.0,Under investigation,1.0
Tanzania,,,,,,
Equatorial Guinea,13,7.0,0.0,0.0,Local transmission,0.0
Namibia,11,3.0,0.0,0.0,Imported cases only,0.0
Eswatini,9,0.0,0.0,0.0,Imported cases only,2.0
Mozambique,8,0.0,0.0,0.0,Local transmission,1.0
Seychelles,8,1.0,0.0,0.0,Imported cases only,0.0
Gabon,7,0.0,1.0,0.0,Imported cases only,2.0
Benin,6,0.0,0.0,0.0,Imported cases only,3.0
Central African,,,,,,
Republic,6,0.0,0.0,0.0,Imported cases only,2.0
Eritrea,6,0.0,0.0,0.0,Imported cases only,3.0
Cabo Verde,5,0.0,1.0,0.0,Imported cases only,2.0
Chad,5,0.0,0.0,0.0,Imported cases only,3.0
Mauritania,5,0.0,0.0,0.0,Imported cases only,1.0
Zimbabwe,5,0.0,1.0,0.0,Local transmission,2.0
Gambia,3,0.0,1.0,0.0,Imported cases only,1.0
Liberia,3,0.0,0.0,0.0,Local transmission,8.0
Angola,2,0.0,0.0,0.0,Imported cases only,8.0
Guinea-Bissau,2,0.0,0.0,0.0,Imported cases only,4.0
Territories**,,,,,,
Réunion,207,64.0,0.0,0.0,Local transmission,0.0
Mayotte,82,32.0,0.0,0.0,Local transmission,0.0
Subtotal for all,,,,,,
,692512,58411.0,33099.0,3215.0,,
regions,,,,,,
International,,,,,,
conveyance (Diamond,712,0.0,7.0,0.0,Local transmission,14.0
Princess),,,,,,
Grand total,693224,58411.0,33106.0,3215.0,,
